"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_001MA","B28011_001EA","B28011_002E","B28011_002M","B28011_002MA","B28011_002EA","B28011_003E","B28011_003EA","B28011_003M","B28011_003MA","B28011_004E","B28011_004EA","B28011_004M","B28011_004MA","B28011_005E","B28011_005M","B28011_005MA","B28011_005EA","B28011_006E","B28011_006M","B28011_006MA","B28011_006EA","B28011_007E","B28011_007EA","B28011_007M","B28011_007MA","B28011_008E","B28011_008EA","B28011_008M","B28011_008MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Annotation of Margin of Error!!Total!!With an Internet subscription","Annotation of Estimate!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Estimate!!Total!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Other service","Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Estimate!!Total!!With an Internet subscription!!Other service","Estimate!!Total!!Internet access without a subscription","Annotation of Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Annotation of Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Annotation of Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access","Annotation of Margin of Error!!Total!!No Internet access",
"1500000US060750212001","Block Group 1, Census Tract 212, San Francisco County, California","502","71","null","null","481","74","null","null","0","null","12","null","458","null","78","null","0","12","null","null","12","20","null","null","0","null","12","null","21","null","22","null",
"1500000US060750212002","Block Group 2, Census Tract 212, San Francisco County, California","582","63","null","null","561","66","null","null","0","null","12","null","543","null","69","null","10","16","null","null","6","12","null","null","0","null","12","null","21","null","24","null",
"1500000US060750212003","Block Group 3, Census Tract 212, San Francisco County, California","369","73","null","null","360","75","null","null","0","null","12","null","333","null","72","null","28","42","null","null","0","12","null","null","9","null","13","null","0","null","12","null",
"1500000US060750213001","Block Group 1, Census Tract 213, San Francisco County, California","420","73","null","null","390","76","null","null","0","null","12","null","364","null","77","null","0","12","null","null","20","23","null","null","21","null","23","null","9","null","14","null",
"1500000US060750213002","Block Group 2, Census Tract 213, San Francisco County, California","788","72","null","null","753","74","null","null","0","null","12","null","721","null","79","null","34","29","null","null","7","12","null","null","18","null","21","null","17","null","17","null",
"1500000US060750214001","Block Group 1, Census Tract 214, San Francisco County, California","410","55","null","null","352","58","null","null","0","null","12","null","344","null","58","null","9","15","null","null","0","12","null","null","0","null","12","null","58","null","34","null",
"1500000US060750214002","Block Group 2, Census Tract 214, San Francisco County, California","686","73","null","null","676","76","null","null","9","null","16","null","636","null","83","null","10","15","null","null","0","12","null","null","0","null","12","null","10","null","16","null",
"1500000US060750214003","Block Group 3, Census Tract 214, San Francisco County, California","622","78","null","null","593","83","null","null","0","null","12","null","573","null","85","null","8","11","null","null","0","12","null","null","19","null","20","null","10","null","15","null",
"1500000US060750215001","Block Group 1, Census Tract 215, San Francisco County, California","433","96","null","null","297","80","null","null","0","null","12","null","275","null","79","null","0","12","null","null","0","12","null","null","79","null","71","null","57","null","54","null",
"1500000US060750215002","Block Group 2, Census Tract 215, San Francisco County, California","560","167","null","null","540","170","null","null","0","null","12","null","484","null","170","null","51","42","null","null","0","12","null","null","20","null","30","null","0","null","12","null",
"1500000US060750215003","Block Group 3, Census Tract 215, San Francisco County, California","459","112","null","null","459","112","null","null","21","null","33","null","422","null","116","null","16","26","null","null","0","12","null","null","0","null","12","null","0","null","12","null",
