"","Census.Blockgroup","Children","Elderly","NonWhite","Poverty","Education","English","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingViolations","Homeless","LivAlone","FloodHealthIndex","FloodHealthIndex_Quintiles"
"375",60750166003,0.066462,0.055,0.296999,0.232256,0.970001256,0.077,237.613,0,0.00735502,0.064,0.143899,0.036513,0.081,0.0062179,0.0037988,0.340001102,43.2063,2
"376",60750205001,0.070746,0.118,0.221,0.19044,0.98,0.028,109.781,0,0.00522555,0.059,0.0544,0.030756,0.057,0.00630631,0.0021589,0.431,43.2062,2
"377",60750302021,0.096601,0.087,0.514,0.242551,0.942000536,0.056,233.657,0,0.0263933,0.043,0.0828,0.028093,0.024,0.00805369,0.0037988,0.40300047,43.1929,2
"378",60750312014,0.130178,0.151,0.847,0.33184,0.816,0.2,275.386,0,0.000710484,0.082,0.1428,0.044834,0.128,0.00246305,0.0005207,0.154,42.9665,2
"379",60750263032,0.211964237,0.146758263,0.885745,0.28794461,0.705227776,0.242298816,277.546,0,0.00322558,0.081826,0.142497,0.044739,0.085691084,0.00229659,0.0005207,0.139863613,42.9664,2
"380",60750326023,0.122074936,0.151999922,0.63,0.285713819,0.900999454,0.225999862,242.98,0,0.0049276,0.043,0.0828,0.028093,0.113999935,0.00291006,0.0018761,0.272999843,42.933,2
"381",60750313011,0.174113,0.152,0.819,0.267079,0.833,0.133,195.372,0,0.00176475,0.076718,0.132629,0.038255,0.115,0.00639182,0.0005125,0.208,42.9264,2
"382",60750157001,0.061339,0.097,0.495,0.242024,0.933,0.05,192.812,0,0.000644177,0.100643,0.193466,0.046398,0.081,0.00638298,0.0006531,0.342,42.8931,2
"383",60750452005,0.154662073,0.152000109,0.547999,0.258678021,0.89200036,0.183000038,160.9,0,0.00166494,0.032,0.0669,0.019236,0.107000019,0.00490621,0.0046154,0.291000076,42.8797,2
"384",60750329013,0.146477,0.187,0.782,0.21172,0.854,0.172,136.139,0,0.00176334,0.064,0.1072,0.02498,0.101,0.00391293,0.0018761,0.137,42.613,2
"385",60750127003,0.121341,0.114,0.173,0.115753,0.963,0.019,3.48471,0,0.0113866,0,0.051498,0,0.101,0.0017452,0.0003448,0.5,42.586,2
"386",60750426022,0.206786793,0.152999847,0.450001,0.165312835,0.904999095,0.086999913,117.442,0,0.0309277,0.035853,0.087918,0.021994,0.092999907,0.00284091,0.0046154,0.270999729,42.5728,2
"387",60750127002,0.121341,0.114,0.173,0.115753,0.963,0.019,2.25366,0,0.00678485,0,0.0516,0,0.101,0.00280583,0.0003448,0.5,42.5727,2
"388",60750166001,0.066461952,0.055000031,0.297,0.232255922,0.969999929,0.076999857,202.946,0,0.00343163,0.064,0.1439,0.036513,0.080999908,0.00801068,0.0037988,0.340000108,42.533,2
"389",60750204022,0.066860008,0.141000012,0.296,0.125484012,0.982000133,0.019000003,212.658,0,0.00588,0.046363,0.07896,0.024557,0.121000011,0.00577515,0.0021589,0.502000061,42.533,2
"390",60750205003,0.070745814,0.117999665,0.221002,0.190439454,0.979997249,0.027999918,156.295,0,0.00366337,0.059,0.0544,0.030756,0.056999837,0.0108429,0.0021589,0.430998784,42.5196,2
"391",60750260021,0.171402014,0.161000009,0.746,0.277727024,0.80800005,0.149000014,148.971,0,0.00110774,0.082018,0.142815,0.044852,0.099000006,0.00221852,0.0005207,0.156000013,42.2997,2
"392",60750131021,0.051263005,0.250000012,0.129,0.112842019,0.988000074,0.005000012,178.648,0,0.00031427,0.079,0.3047,0.038247,0.098000011,0.00265701,0.0003448,0.529000047,42.2398,2
"393",60750253002,0.162098313,0.086000165,0.491999,0.204373455,0.923001562,0.106000021,119.185,0,0.00107459,0.139,0.3703,0.067351,0.057000101,0.00419287,0.0032195,0.259000422,42.233,2
"394",60750251002,0.131896937,0.112999923,0.480001,0.217518883,0.956999388,0.026999978,106.901,0,0,0.139,0.3703,0.067351,0.085999936,0.00607441,0.0032195,0.224999868,42.2264,2
"395",60750130001,0.089489821,0.141999716,0.186002,0.143990712,0.96499807,0.007999984,48.0991,0,0.00785419,0.000148,0.052073,7.1e-05,0.056999886,0.00543634,0.0003448,0.48499903,42.2261,2
"396",60750128001,0.172779,0.118,0.265,0.114711,0.958,0.017,8.5,0,0.0145976,0,0.0516,0,0.056,0.006095,0.0003448,0.5,42.2127,2
"397",60750428002,0.274633228,0.201849193,0.330815,0.097028808,0.965495401,0.035795916,-5.2,0.0293414,0.00526343,0.040455,0.119391,0.025505,0.064631515,0.00235738,0.0003428,0.21875282,41.9526,2
"398",60750476002,0.157536842,0.180999819,0.6,0.193519806,0.866999133,0.152999847,147.817,0,0.00246893,0.036945,0.093876,0.022776,0.086999913,0.00224383,0.0046154,0.253999746,41.913,2
"399",60750129022,0.072392,0.115,0.272,0.137145,0.983,0.025,27.712,0,0.011774,0,0.0516,0,0.038,0.00377797,0.0003448,0.551,41.8994,2
"400",60750402004,0.117192,0.146,0.511,0.16156,0.897,0.08,129.982,0,0.00590752,0.031978,0.066854,0.019223,0.084,0.0035791,0.0030129,0.401,41.8929,2
"401",60750479021,0.116653,0.172,0.54,0.290542,0.914,0.086,174.01,0,0.000647165,0.043,0.1269,0.027109,0.092,0.00623053,0.0046154,0.325,41.8731,2
"402",60750166002,0.066462,0.055,0.297,0.232256,0.97,0.077,256.262,0,0.00354937,0.064,0.1439,0.036513,0.081,0.00865052,0.0037988,0.34,41.8597,2
"403",60750206002,0.07423505,0.110000049,0.273,0.175168105,0.972000629,0.027000034,107.993,0,0,0.060659,0.060952,0.031515,0.140000042,0.0123153,0.0021589,0.495000255,41.8464,2
"404",60750302022,0.096601,0.087,0.514,0.242551,0.942,0.056,233.632,0,0.00838558,0.043,0.0828,0.028093,0.024,0.0149966,0.0037988,0.403,41.8463,2
"405",60750329021,0.156696193,0.220000205,0.718,0.24654825,0.804001042,0.175000123,154.284,0,0.000824116,0.043,0.0828,0.028093,0.109000095,0.00243704,0.0018761,0.273000297,41.6064,2
"406",60750305003,0.144190032,0.269000036,0.471,0.164066027,0.89600023,0.07500001,388.737,0,0.00504166,0.036028,0.099106,0.019481,0.20600002,0.00301344,0.0002606,0.333000083,41.5997,2
"407",60750401001,0.108746,0.139,0.4,0.264266,0.91,0.159,171.334,0,0.00227976,0.031914,0.06672,0.019184,0.116,0.00690449,0.0003448,0.384,41.5597,2
"408",60750451002,0.102118,0.135,0.551,0.386899,0.892,0.063,181.582,0,0.00143174,0.032159,0.067129,0.019364,0.077,0.00671946,0.0046154,0.379,41.5264,2
"409",60750262002,0.162424,0.173,0.884,0.276474,0.77,0.197,226.476,0,0.000651356,0.082,0.1428,0.044834,0.09,0.00250456,0.0005207,0.065,41.2998,2
"410",60750479022,0.116653,0.172,0.54,0.290542,0.914,0.086,176.997,0,0.00111789,0.043,0.1269,0.027109,0.092,0.00342634,0.0046154,0.325,41.2264,2
"411",60750426021,0.206786803,0.152999994,0.45,0.165313523,0.904999858,0.087000347,136.771,0,0.00708695,0.035872,0.088022,0.022008,0.092999959,0.00436681,0.0046154,0.271000604,41.2262,2
"412",60750327004,0.142917,0.179,0.656,0.216353,0.841,0.179,221.858,0,0.0063936,0.043,0.0828,0.028093,0.097,0.00331858,0.0018761,0.159,40.9463,2
"413",60750327003,0.142916857,0.178999821,0.656,0.216352784,0.840999159,0.178999821,197.964,0,0.00255138,0.043,0.0828,0.028093,0.096999903,0.00489796,0.0018761,0.158999841,40.933,2
"414",60750351003,0.161644,0.171,0.675,0.209019,0.871,0.103,70.5641,0,0.00202843,0.043,0.0828,0.028093,0.079,0.0026087,0.0018761,0.248,40.9329,2
"415",60750211002,0.149512159,0.114000107,0.319999,0.146593082,0.985001071,0.010000009,105.254,0,0.00315382,0.06148,0.064193,0.031891,0.092000049,0.0122869,0.0021589,0.323000408,40.8729,2
"416",60750451001,0.102118,0.135,0.551,0.386899,0.892,0.063,174.806,0,0.000795806,0.032073,0.067006,0.019295,0.077,0.00924094,0.0046154,0.379,40.8531,2
"417",60750312021,0.131790605,0.165999502,0.876,0.245773263,0.791997624,0.190999427,326.966,0,0.00033243,0.082,0.1428,0.044834,0.0999997,0.00387597,0.0005207,0.183999448,40.6132,2
